"species","scope","process","year","mean","lo95","hi95"
"MYYU","Kootenay Region","Persistence",2023,0.8208,0.7059,0.9375
"MYYU","Kootenay Region","Persistence",2024,0.666,0.5417,0.7826
"MYYU","Kootenay Region","Persistence",2025,0.7508,0.6,0.8889
"MYYU","Northern Region","Colonization",2018,0.0368,0,0.1091
"MYYU","Northern Region","Colonization",2019,0.046,0.0196,0.0943
"MYYU","Northern Region","Colonization",2020,0.0133,0,0.06
"MYYU","Northern Region","Colonization",2021,0.0148,0,0.06
"MYYU","Northern Region","Colonization",2022,0.042,0.0196,0.0816
"MYYU","Northern Region","Colonization",2023,0.0224,0,0.0769
"MYYU","Northern Region","Colonization",2024,0.0731,0.0213,0.1277
"MYYU","Northern Region","Colonization",2025,0.0404,0,0.0851
"MYYU","Northern Region","Persistence",2018,0.8835,0.6,1
"MYYU","Northern Region","Persistence",2019,0.9171,0.7,1
"MYYU","Northern Region","Persistence",2020,0.8304,0.6667,0.9167
"MYYU","Northern Region","Persistence",2021,0.8819,0.6667,1
"MYYU","Northern Region","Persistence",2022,0.8527,0.6364,1
"MYYU","Northern Region","Persistence",2023,0.9284,0.7,1
"MYYU","Northern Region","Persistence",2024,0.8585,0.7,0.9231
"MYYU","Northern Region","Persistence",2025,0.9203,0.8333,1
"MYYU","Okanagan Region","Colonization",2018,0.403,0.2,0.6364
"MYYU","Okanagan Region","Colonization",2019,0.2918,0.1333,0.4667
"MYYU","Okanagan Region","Colonization",2020,0.2507,0.1538,0.3846
"MYYU","Okanagan Region","Colonization",2021,0.2511,0.1579,0.35
"MYYU","Okanagan Region","Colonization",2022,0.3556,0.2632,0.4737
"MYYU","Okanagan Region","Colonization",2023,0.2606,0.1429,0.4
"MYYU","Okanagan Region","Colonization",2024,0.3201,0.1875,0.4706
"MYYU","Okanagan Region","Colonization",2025,0.4546,0.3571,0.5714
"MYYU","Okanagan Region","Persistence",2018,0.7078,0.5238,0.9091
"MYYU","Okanagan Region","Persistence",2019,0.7453,0.625,0.85
"MYYU","Okanagan Region","Persistence",2020,0.437,0.3489,0.5789
"MYYU","Okanagan Region","Persistence",2021,0.7661,0.6429,0.8571
"MYYU","Okanagan Region","Persistence",2022,0.7897,0.6429,0.8667
"MYYU","Okanagan Region","Persistence",2023,0.6752,0.5556,0.8
"MYYU","Okanagan Region","Persistence",2024,0.7828,0.6667,0.8824
"MYYU","Okanagan Region","Persistence",2025,0.6742,0.55,0.7778
"MYYU","South Coastal Region","Colonization",2018,0.3388,0.1579,0.5
"MYYU","South Coastal Region","Colonization",2019,0.2493,0.1111,0.4
"MYYU","South Coastal Region","Colonization",2020,0.1906,0.0625,0.3333
"MYYU","South Coastal Region","Colonization",2021,0.3872,0.25,0.5
"MYYU","South Coastal Region","Colonization",2022,0.3819,0.2222,0.5385
"MYYU","South Coastal Region","Colonization",2023,0.2764,0.125,0.4545
"MYYU","South Coastal Region","Colonization",2024,0.3246,0.2,0.5
"MYYU","South Coastal Region","Colonization",2025,0.2047,0,0.4545
"MYYU","South Coastal Region","Persistence",2018,0.9123,0.8065,1
"MYYU","South Coastal Region","Persistence",2019,0.9379,0.8824,1
"MYYU","South Coastal Region","Persistence",2020,0.872,0.7895,0.9459
"MYYU","South Coastal Region","Persistence",2021,0.9692,0.9118,1
"MYYU","South Coastal Region","Persistence",2022,0.9368,0.9024,0.9756
"MYYU","South Coastal Region","Persistence",2023,0.9504,0.9048,0.9773
"MYYU","South Coastal Region","Persistence",2024,0.9306,0.8636,0.9778
"MYYU","South Coastal Region","Persistence",2025,0.9413,0.881,1
