species,scenario,year,phi_mean,phi_sd,gamma_mean,gamma_sd
LANO,rotation_4yr,2021,0.9487436701084334,0.023396322626474036,0.55311913854404,0.17072801276401328
LANO,rotation_4yr,2022,0.9206283857136324,0.0279740019086745,0.5159142518261247,0.1830639363068961
LANO,rotation_4yr,2023,0.9532128771558707,0.028627903474623746,0.6413526736056793,0.17317764814744185
LANO,rotation_5yr,2016,0.7985255589543753,0.04766331259885961,0.1409544606169395,0.12353227788163364
LANO,rotation_5yr,2017,0.9449494585758791,0.02664276943723117,0.6763378942531002,0.10101568428701943
LANO,rotation_5yr,2018,0.8922223938602833,0.030022476319268052,0.3155074581911991,0.1313447956390559
LANO,rotation_5yr,2019,0.9201590418811278,0.027555701863300943,0.6035776356555724,0.11183446158274091
LANO,rotation_5yr,2020,0.9297585363183715,0.027973675043055368,0.4734309667822169,0.1336436026188788
LANO,rotation_5yr,2021,0.91809373358021,0.026169106440058792,0.586983517802396,0.12304347768115156
LANO,rotation_5yr,2022,0.8792084563104404,0.03240562919563507,0.5346228797674885,0.13610038543876257
LANO,rotation_5yr,2023,0.9703085712107774,0.02233279172658547,0.6224832186845848,0.11410446466065402
LABO,full,2016,0.4131988667458476,0.05168869860512069,0.12984514846903275,0.08098089472174574
LABO,full,2017,0.9429566649211357,0.038215395909401574,0.0315307301710076,0.027463349213735583
LABO,full,2018,0.944203347805482,0.032831422036047185,0.0646195276271848,0.025651251852962416
LABO,full,2019,0.8763744280079486,0.04357969876469219,0.030672883189014982,0.01860722719659549
LABO,full,2020,0.978828577278881,0.01971243681913421,0.05785085967661595,0.02336234452632354
LABO,full,2021,0.9765450006287294,0.0218551346159367,0.026282098803311366,0.015208769742601057
LABO,full,2022,0.9763192693039261,0.021133357310056465,0.0450284643594407,0.021880674193103185
LABO,full,2023,0.9325471703472441,0.03510927919676423,0.053377947933357886,0.027751296237046714
LABO,rotation_2yr,2016,0.41653851148462645,0.05318668543685614,0.1288161096601199,0.07957758301999932
LABO,rotation_2yr,2017,0.939169190578841,0.040132115247663025,0.028741559101865925,0.02508871873479662
