site,region,lat,long,elevation,park_name,n_years,is_bc_park,is_alaska,site_type
283586_NE,Northern Region,54.3558,-128.5366,NA,Lakelse Park 1,6,TRUE,FALSE,BC Parks (Rotating)
283586_NW,Northern Region,54.3321,-128.6266,NA,Lakelse Park 1,7,TRUE,FALSE,BC Parks (Rotating)
283586_SE,Northern Region,54.31162,-128.54374,NA,Lakelse Park 1,7,TRUE,FALSE,BC Parks (Rotating)
283586_SW,Northern Region,54.2946,-128.581,NA,Lakelse Park 1,7,TRUE,FALSE,BC Parks (Rotating)
294832_NE,Northern Region,56.3348,-120.97877,NA,Charlie Lake,7,FALSE,FALSE,Fixed (BC)
294832_NW,Northern Region,56.33264,-121.00747,NA,Charlie Lake,7,FALSE,FALSE,Fixed (BC)
294832_SE,Northern Region,56.30206,-120.94608,NA,Charlie Lake,7,FALSE,FALSE,Fixed (BC)
294832_SW,Northern Region,56.30496,-121.00198,NA,Charlie Lake,7,FALSE,FALSE,Fixed (BC)
31438_NE,Alaska,58.25593,-134.358115,50.69642857142857,Douglas,4,FALSE,TRUE,Fixed (Alaska)
31438_NW,Alaska,58.26963,-134.43333,186,Douglas,4,FALSE,TRUE,Fixed (Alaska)
31438_SE,Alaska,58.24628,-134.33602,16,Douglas,4,FALSE,TRUE,Fixed (Alaska)
315563_SE,Alaska,58.36437,-134.50136,33,Valley,4,FALSE,TRUE,Fixed (Alaska)
317428_NE,South Coastal Region,49.06292,-120.799436,NA,Manning Park,7,TRUE,FALSE,BC Parks (Rotating)
317428_NW,South Coastal Region,49.06417,-120.90943,NA,Manning Park,7,TRUE,FALSE,BC Parks (Rotating)
317428_SE,South Coastal Region,49.06053,-120.77309,NA,Manning Park,7,TRUE,FALSE,BC Parks (Rotating)
317428_SW,South Coastal Region,49.04617,-120.85085,NA,Manning Park,6,TRUE,FALSE,BC Parks (Rotating)
326072_NE,South Coastal Region,49.09743,-122.51957,NA,Langley,8,FALSE,FALSE,Fixed (BC)
326072_NW,South Coastal Region,49.05235,-122.58989,NA,Langley,9,FALSE,FALSE,Fixed (BC)
326072_SE,South Coastal Region,49.0144,-122.52755,NA,Langley,7,FALSE,FALSE,Fixed (BC)
326072_SW,South Coastal Region,49.01082,-122.58104,NA,Langley,9,FALSE,FALSE,Fixed (BC)
34338_NE,Alaska,59.56445,-139.61554,30,Yakutat,2,FALSE,TRUE,Fixed (Alaska)
34338_NW,Alaska,59.51789,-139.66391,14,Yakutat,5,FALSE,TRUE,Fixed (Alaska)
34338_SE,Alaska,59.51027,-139.53528,10,Yakutat,5,FALSE,TRUE,Fixed (Alaska)
34338_SW,Alaska,59.49062,-139.64204,6,Yakutat,5,FALSE,TRUE,Fixed (Alaska)
37274_NE,Northern Region,53.088742,-119.203183,NA,Mt Robson Park,6,TRUE,FALSE,BC Parks (Rotating)
37274_SE,Northern Region,53.050514,-119.214184,NA,Mt Robson Park,6,TRUE,FALSE,BC Parks (Rotating)
37274_SW,Northern Region,53.035636,-119.228949,NA,Mt Robson Park,6,TRUE,FALSE,BC Parks (Rotating)
38442_NW,Okanagan Region,51.5199863,-122.2897779,NA,Churn Creek,4,TRUE,FALSE,BC Parks (Rotating)
38442_SW,Okanagan Region,51.502381,-122.289917,NA,Churn Creek,6,TRUE,FALSE,BC Parks (Rotating)
42026_NE,Northern Region,55.85526785,-121.6534502,NA,Moberly Lake,2,TRUE,FALSE,BC Parks (Rotating)
42026_NW,Northern Region,55.83615996,-121.7169091,NA,Moberly Lake,2,TRUE,FALSE,BC Parks (Rotating)
42026_SE,Northern Region,55.81796825,-121.6640549,NA,Moberly Lake,2,TRUE,FALSE,BC Parks (Rotating)
42026_SW,Northern Region,55.81130793,-121.7013079,NA,Moberly Lake,2,TRUE,FALSE,BC Parks (Rotating)
47210_NE,Okanagan Region,49.84024333,-119.8811811,NA,Kelowna,2,FALSE,FALSE,Fixed (BC)
47210_NW,Okanagan Region,49.84159091,-119.9782986,NA,Kelowna,2,FALSE,FALSE,Fixed (BC)
47210_SE,Okanagan Region,49.79638208,-119.8698479,NA,Kelowna,2,FALSE,FALSE,Fixed (BC)
47310_NW,Alaska,55.49629,-131.70515,75,Ketchikan,5,FALSE,TRUE,Fixed (Alaska)
47310_SE,Alaska,55.45411,-131.61887,126,Ketchikan,4,FALSE,TRUE,Fixed (Alaska)
47310_SW,Alaska,55.44204,-131.62489,150,Ketchikan,5,FALSE,TRUE,Fixed (Alaska)
47322_NE,Northern Region,55.698075,-120.43213,NA,Bear Mountain,8,FALSE,FALSE,Fixed (BC)
47322_NW,Northern Region,55.70016,-120.489889,NA,Bear Mountain,8,FALSE,FALSE,Fixed (BC)
47322_SE,Northern Region,55.64597,-120.40102,NA,Bear Mountain,7,FALSE,FALSE,Fixed (BC)
47322_SW,Northern Region,55.65446,-120.49465,NA,Bear Mountain,8,FALSE,FALSE,Fixed (BC)
5006_NW,Alaska,56.67385,-132.77744,242,Petersburg,5,FALSE,TRUE,Fixed (Alaska)
5006_SE,Alaska,56.65803,-132.67407,46,Petersburg,5,FALSE,TRUE,Fixed (Alaska)
57322_NE,South Coastal Region,49.094543,-122.098809,NA,Sumas,7,FALSE,FALSE,Fixed (BC)
57322_NW,South Coastal Region,49.07915,-122.16077,NA,Sumas,6,FALSE,FALSE,Fixed (BC)
57322_SE,South Coastal Region,49.0141,-122.09198,NA,Sumas,6,FALSE,FALSE,Fixed (BC)
57322_SW,South Coastal Region,49.016633,-122.151312,NA,Sumas,5,FALSE,FALSE,Fixed (BC)
5994_NE,Kootenay Region,49.260667,-115.248935,NA,Baynes Lake,5,FALSE,FALSE,Fixed (BC)
5994_SE,Kootenay Region,49.212282,-115.26277,NA,Baynes Lake,5,FALSE,FALSE,Fixed (BC)
60586_NW,Kootenay Region,50.93041,-116.39001,NA,Spillimacheen,5,FALSE,FALSE,Fixed (BC)
60586_SW,Kootenay Region,50.90342,-116.39335,NA,Spillimacheen,5,FALSE,FALSE,Fixed (BC)
6202_NE,South Coastal Region,48.537407,-123.501191,NA,Goldstream,7,TRUE,FALSE,BC Parks (Rotating)
6202_NW,South Coastal Region,48.507881,-123.600878,NA,Goldstream,6,TRUE,FALSE,BC Parks (Rotating)
6202_SE,South Coastal Region,48.4893431,-123.5078995,NA,Goldstream,4,TRUE,FALSE,BC Parks (Rotating)
6202_SW,South Coastal Region,48.486373,-123.549127,NA,Goldstream,6,TRUE,FALSE,BC Parks (Rotating)
70250_NW,Kootenay Region,51.24583,-116.91793,NA,Nicholson,5,FALSE,FALSE,Fixed (BC)
70250_SW,Kootenay Region,51.20982,-116.89974,NA,Nicholson,3,FALSE,FALSE,Fixed (BC)
73002_NE,Okanagan Region,50.850673,-121.872189,NA,Lillooet,8,FALSE,FALSE,Fixed (BC)
73002_SE,Okanagan Region,50.824841,-121.868963,NA,Lillooet,9,FALSE,FALSE,Fixed (BC)
73002_SW,Okanagan Region,50.80422,-121.87782,NA,Lillooet,9,FALSE,FALSE,Fixed (BC)
73786_NW,South Coastal Region,49.12334,-123.06198,NA,Delta,9,FALSE,FALSE,Fixed (BC)
73786_SE,South Coastal Region,49.12604,-123.001631,NA,Delta,9,FALSE,FALSE,Fixed (BC)
73786_SW,South Coastal Region,49.108227,-123.079916,NA,Delta,7,FALSE,FALSE,Fixed (BC)
77162_NE,Kootenay Region,50.95478,-118.09975,NA,Revelstoke,6,FALSE,FALSE,Fixed (BC)
77162_SW,Kootenay Region,50.886,-118.10586,NA,Revelstoke,8,FALSE,FALSE,Fixed (BC)
79018_NE,Kootenay Region,50.202097,-116.910069,NA,Meadow Creek,9,FALSE,FALSE,Fixed (BC)
79018_NW,Kootenay Region,50.193827,-116.947519,NA,Meadow Creek,9,FALSE,FALSE,Fixed (BC)
79018_SE,Kootenay Region,50.187225,-116.904186,NA,Meadow Creek,9,FALSE,FALSE,Fixed (BC)
