species,scenario,n_sites,n_years,n_detections,n_observations,naive_occ,psi1_mean,psi1_sd,psi1_ci_width,p_mean,p_sd,p_ci_width,mean_phi,mean_phi_sd,mean_phi_ci_width,mean_gamma,mean_gamma_sd,mean_gamma_ci_width,trend_mean,trend_sd,trend_lcl,trend_ucl,trend_ci_width,trend_significant,psi_final,Rhat_max,n_eff_min,psi1_ci_rel,p_ci_rel,phi_ci_rel,gamma_ci_rel,trend_ci_rel,obs_rel
LABO,full,280,9,1247,5260,0.5178571428571429,0.7174124957946271,0.05212048435383869,0.20267666583214017,0.6425298999954188,0.011697113581821699,0.04605670880813717,0.8801216656298994,0.011721659586717692,0.04582066497766002,0.05490095752862075,0.011921235198563343,0.04627382611518801,-0.016817818686630567,0.00380549577548419,-0.024047619047619064,-0.009226190476190483,0.014821428571428581,TRUE,0.39815803008872314,1.0059699790073273,365,1,1,1,1,1,1
LABO,rotation_2yr,278,9,1110,4396,0.5107913669064749,0.7120110001747468,0.05294350436772424,0.2102468231035829,0.6438033571243328,0.012309726470980142,0.047998778184828006,0.8780137127744372,0.012263662868797202,0.048328730110422824,0.05850854625692243,0.01238137892321996,0.04778577858631206,-0.016145373530158772,0.004099390356911686,-0.023920863309352502,-0.007853717026378897,0.016067146282973607,TRUE,0.41193831613377163,1.0035012003977217,563,1.037350906876041,1.0421669161116376,1.0547365502876402,1.0326740319108343,1.0840484239114716,0.8357414448669201
LABO,rotation_3yr,268,9,1019,3970,0.5074626865671642,0.7110325253981941,0.052567630069194245,0.20429147322996644,0.6483867598739518,0.013032057376282555,0.05066848914427313,0.8652568613893612,0.01399853231954895,0.05419281666444831,0.06102263227807841,0.012620872585074083,0.0492121541980781,-0.01830120201074834,0.00446016985758338,-0.026927860696517415,-0.009449626865671686,0.01747823383084573,TRUE,0.3887086469841014,1.0018251489786387,1216,1.0079674065645212,1.1001326507143117,1.1827156304010462,1.063498706062814,1.1792543307558556,0.7547528517110266
LABO,rotation_4yr,269,9,1011,3896,0.516728624535316,0.7121050618020597,0.052014869644062565,0.20252601662153746,0.6440981586832029,0.013063229952045499,0.05088277574190425,0.8706076661450363,0.013759425337397406,0.05384013147648359,0.06667930434608549,0.013548259439740872,0.05281795131450738,-0.01571559882134434,0.0044182388471363885,-0.02416356877323421,-0.006877323420074358,0.01728624535315985,TRUE,0.4317364821984057,1.003389211230575,1090,0.9992567017521027,1.104785319200108,1.1750185533696091,1.1414217441849153,1.1663008912975315,0.7406844106463878
LABO,rotation_5yr,264,9,1010,4181,0.5113636363636364,0.7169431869935257,0.05366920794427801,0.20939236101716452,0.6415419553849385,0.01300472126418578,0.05053084170097433,0.8716477480179684,0.013089223215178728,0.05147737052313428,0.061049233480514206,0.012626948798955775,0.04876522695053024,-0.017194743464245415,0.004307510689068253,-0.02544191919191919,-0.008459595959595969,0.01698232323232322,TRUE,0.4082646901053742,1.0058391074606368,352,1.0331350190583182,1.0971439994002932,1.1234531525946252,1.0538403897948803,1.1457953024218068,0.7948669201520913
MYLU,full,280,9,4255,5260,0.9857142857142858,0.900004994955566,0.03342037667538168,0.12952730800979562,0.8492783219028651,0.005226865621587409,0.020722895548369924,0.956416488249164,0.0062374029767862885,0.0240155496294574,0.7100609845430619,0.053983243627353336,0.2110614964587797,0.0033518887603046048,0.0025451523384923446,-0.0012499999999999955,0.008809523809523795,0.01005952380952379,FALSE,0.93504814767191,1.0022079227553744,1097,1,1,1,1,1,1
MYLU,rotation_2yr,278,9,3594,4396,0.9892086330935251,0.9004358373585096,0.0339861513284376,0.13273037209332283,0.8562513515433496,0.005494912016499937,0.021729933749715324,0.9586008464898012,0.006383911029844471,0.025236506707798645,0.7042426431203012,0.06410580822906227,0.2502911921954878,0.002828310408978547,0.0026509358213148084,-0.0019184652278177415,0.008393285371702638,0.01031175059952038,FALSE,0.9469903824914866,1.0011270125929446,1818,1.0247288709442257,1.0485954387500938,1.0508402721228425,1.1858685567709393,1.0250734323783592,0.8357414448669201
MYLU,rotation_3yr,268,9,3249,3970,0.996268656716418,0.894172747827982,0.03519960586365651,0.13489312457936453,0.857109683900621,0.005766378710474472,0.02262525977025376,0.9567651207081357,0.007040142139683746,0.027303599302080372,0.7185380268646258,0.0638695293543934,0.24787118411160802,0.004008883475412217,0.0029733887100579053,-0.0015547263681592019,0.01007462686567165,0.011629353233830853,FALSE,0.9477074573128955,1.0030737177830533,1041,1.041426141344365,1.0918001163227151,1.136913363356459,1.1744026659074562,1.156054049280229,0.7547528517110266
MYLU,rotation_4yr,269,9,3186,3896,0.9851301115241635,0.8936762341954151,0.034936039551967786,0.13599266180503244,0.8554483917193658,0.005877012712198926,0.023006094878503247,0.9577358364843632,0.007222821785551267,0.028217331313752703,0.7074799835306415,0.06548751083163291,0.2525430996273482,0.006597561862753813,0.002890898881086126,0.0013011152416356746,0.012701363073110301,0.011400247831474626,TRUE,0.9638119945823579,1.001332032984119,1859,1.0499149862262858,1.1101776209219432,1.174960879477079,1.1965379942080998,1.1332790743714443,0.7406844106463878
MYLU,rotation_5yr,264,9,3390,4181,0.9886363636363636,0.8988276314643825,0.03411109594060455,0.13272054796060007,0.8538639052054289,0.0056993801079760695,0.022162498185235524,0.9546990832299298,0.006942133665492484,0.027134582969393306,0.7065069286297411,0.05825304574701293,0.22832327911173422,0.004414753344021276,0.0026846993360842663,-5.050505050504901e-4,0.010037878787878771,0.01054292929292926,FALSE,0.9432628868947501,1.001679567964745,1252,1.0246530249093337,1.0694691836623593,1.1298755759522618,1.081785559860871,1.0480545095929699,0.7948669201520913
MYSE,full,280,9,309,5260,0.2357142857142857,0.27774969744140054,0.0539535835003327,0.20985143220326707,0.3960290454000894,0.024080831298020026,0.09434541734842772,0.728796038731567,0.03741051509154834,0.1458037457203578,0.0384730891609726,0.0072094053391593945,0.028347118432872232,-0.011251833516685001,0.004061949601363156,-0.019642857142857142,-0.0036309523809523792,0.016011904761904762,TRUE,0.128017087423028,1.0039582231717505,497,1,1,1,1,1,1
MYSE,rotation_2yr,278,9,271,4396,0.2158273381294964,0.27439788029532974,0.052818116844237505,0.20814466161066764,0.4323156433248481,0.025618945523720953,0.10120490821133987,0.7216180601880896,0.037355364517069715,0.1467824291735924,0.03872232480067397,0.007389057109333325,0.028476176223414626,-0.011541004220326109,0.004219177810152727,-0.019907074340527586,-0.0034172661870503643,0.016489808153477222,TRUE,0.13579631344429408,1.0034308459042884,580,0.9918667670042575,1.0727061372528495,1.0067123340926485,1.004552765772225,1.0298467545666072,0.8357414448669201
MYSE,rotation_3yr,268,9,248,3970,0.208955223880597,0.27572226700061797,0.053731978120470245,0.20975441109075613,0.4201574418406203,0.026547154786195175,0.10438614274758856,0.7581309792181071,0.03847569308304714,0.15123956703493224,0.036660231071859346,0.007515543110550456,0.029393486918793538,-0.009107540107244556,0.004603982923650773,-0.01847014925373134,-4.975124378109448e-4,0.017972636815920394,TRUE,0.14905109913976472,1.0029580433537975,663,0.9995376676180272,1.1064251521839092,1.0372817672668024,1.036912693203691,1.1224546412916825,0.7547528517110266
MYSE,rotation_4yr,269,9,230,3896,0.17472118959107807,0.26183595332741905,0.05391438515581026,0.21068402506526038,0.4354137845784351,0.02833701854144857,0.1097497331972841,0.7247049492829072,0.04189049426576673,0.16498099953482803,0.034757521695612414,0.007281310485609414,0.02850709317539162,-0.010076292635459333,0.004292193656208053,-0.018835192069392815,-0.002168525402726146,0.01666666666666667,TRUE,0.1403489791358318,1.002617519954898,1191,1.0039675348090398,1.1632757189675318,1.131527854238059,1.0056434216725842,1.0408921933085504,0.7406844106463878
MYSE,rotation_5yr,264,9,242,4181,0.20833333333333334,0.2737241156635368,0.05451285785301571,0.21352026408775948,0.4049391385796439,0.026552883596007524,0.1046369011750995,0.7368365323539073,0.03972363030322096,0.15600742167989634,0.037873713589186994,0.00753132403031564,0.029803336990403655,-0.011400540306555908,0.004492792910674954,-0.020580808080808078,-0.00284090909090909,0.017739898989898986,TRUE,0.1429733882479157,1.0038002883423482,699,1.0174829966418275,1.1090830282584285,1.0699822621780137,1.0513709554281447,1.1079193421200855,0.7948669201520913
