species,scenario,year,psi_mean,psi_lcl,psi_ucl
LANO,full,2021,0.8211336405529954,0.7741935483870968,0.8663594470046083
LANO,full,2022,0.8187010752688172,0.7880184331797235,0.847926267281106
LANO,full,2023,0.8505364055299539,0.8110599078341014,0.8894009216589862
LANO,full,2024,0.8998801843317973,0.8617511520737328,0.9354838709677419
LANO,rotation_2yr,2016,0.8972548223350254,0.817258883248731,0.9593908629441624
LANO,rotation_2yr,2017,0.8379783417935702,0.7614213197969543,0.9035532994923858
LANO,rotation_2yr,2018,0.8278247038917089,0.7715736040609137,0.8781725888324873
LANO,rotation_2yr,2019,0.8186152284263959,0.7766497461928934,0.8578680203045685
LANO,rotation_2yr,2020,0.7850003384094755,0.7411167512690355,0.8249999999999982
LANO,rotation_2yr,2021,0.8517096446700507,0.8071065989847716,0.8934010152284264
LANO,rotation_2yr,2022,0.8087884940778342,0.7766497461928934,0.8426395939086294
LANO,rotation_2yr,2023,0.854410152284264,0.8121827411167513,0.8934010152284264
LANO,rotation_2yr,2024,0.8962274111675127,0.8578680203045685,0.934010152284264
LANO,rotation_3yr,2016,0.8934427350427351,0.8051282051282052,0.958974358974359
LANO,rotation_3yr,2017,0.83456,0.7589743589743589,0.8974358974358975
LANO,rotation_3yr,2018,0.842780170940171,0.7846153846153846,0.9025641025641026
LANO,rotation_3yr,2019,0.8218871794871795,0.7794871794871795,0.8615384615384616
LANO,rotation_3yr,2020,0.7918290598290598,0.7435897435897436,0.8358974358974359
LANO,rotation_3yr,2021,0.8543630769230769,0.8051282051282052,0.8974358974358975
LANO,rotation_3yr,2022,0.8059603418803418,0.764102564102564,0.841025641025641
LANO,rotation_3yr,2023,0.8315924786324786,0.7794871794871795,0.8769230769230769
LANO,rotation_3yr,2024,0.9267008547008547,0.8717948717948718,0.9692307692307692
LANO,rotation_4yr,2016,0.8946173611111111,0.8072916666666666,0.9583333333333334
LANO,rotation_4yr,2017,0.8333763888888889,0.7552083333333334,0.9010416666666666
LANO,rotation_4yr,2018,0.8405381944444444,0.7760416666666666,0.9010416666666666
