species,scenario,year,psi_mean,psi_sd,psi_lcl,psi_ucl
LABO,full,2023,0.39208849456374206,0.012432115560969974,0.3678571428571429,0.41785714285714287
LABO,full,2024,0.39815803008872314,0.015352749702718417,0.3678571428571429,0.42857142857142855
LABO,rotation_2yr,2016,0.7135364615598251,0.045750870563223245,0.6223021582733813,0.7985611510791367
LABO,rotation_2yr,2017,0.3310575661882735,0.02388214526990224,0.2841726618705036,0.3776978417266187
LABO,rotation_2yr,2018,0.32985492793883703,0.01931486443732561,0.29136690647482016,0.3669064748201439
LABO,rotation_2yr,2019,0.3617779044091459,0.01528835130547436,0.33093525179856115,0.3920863309352518
LABO,rotation_2yr,2020,0.33811798446031655,0.014939468433679723,0.30935251798561153,0.3669064748201439
LABO,rotation_2yr,2021,0.3565151479176695,0.012860600060559462,0.33093525179856115,0.381294964028777
LABO,rotation_2yr,2022,0.3672514733487737,0.011885909954002814,0.34532374100719426,0.38848920863309355
LABO,rotation_2yr,2023,0.3871041780437037,0.015618028362223531,0.35611510791366907,0.4172661870503597
LABO,rotation_2yr,2024,0.41193831613377163,0.02053687150765184,0.37410071942446044,0.4568345323741007
LABO,rotation_3yr,2016,0.7127895625383434,0.04524952636798163,0.6194029850746269,0.7985074626865671
LABO,rotation_3yr,2017,0.33476332707897655,0.027522838751087512,0.2835820895522388,0.3880597014925373
LABO,rotation_3yr,2018,0.33034982602737883,0.023759999036130835,0.2835820895522388,0.376865671641791
LABO,rotation_3yr,2019,0.3702698628071762,0.017096365852777264,0.33955223880597013,0.40317164179104203
LABO,rotation_3yr,2020,0.31982190756389073,0.016915389767286206,0.2873134328358209,0.35447761194029853
LABO,rotation_3yr,2021,0.3452781845348714,0.013520447652624428,0.3208955223880597,0.373134328358209
LABO,rotation_3yr,2022,0.3627993396354561,0.012574169504859031,0.33955223880597013,0.3880597014925373
LABO,rotation_3yr,2023,0.3875447246217159,0.01898345630832352,0.35074626865671643,0.4253731343283582
LABO,rotation_3yr,2024,0.3887086469841014,0.02330230776155204,0.34328358208955223,0.43656716417910446
LABO,rotation_4yr,2016,0.7134036823756725,0.04505887070798318,0.620817843866171,0.7992565055762082
LABO,rotation_4yr,2017,0.3394239052158004,0.026999013712935078,0.2862453531598513,0.3940520446096654
LABO,rotation_4yr,2018,0.3356744596392725,0.023483809987193585,0.2899628252788104,0.3828996282527881
LABO,rotation_4yr,2019,0.36192801436277455,0.016395393750997897,0.3271375464684015,0.3940520446096654
LABO,rotation_4yr,2020,0.3351985756196437,0.01578952101238921,0.3048327137546468,0.36431226765799257
LABO,rotation_4yr,2021,0.3564981033419327,0.014067701890190836,0.3308550185873606,0.3828996282527881
LABO,rotation_4yr,2022,0.3637913977271333,0.015436651839632595,0.3345724907063197,0.3940520446096654
LABO,rotation_4yr,2023,0.3837335406403094,0.021721178012058508,0.3420074349442379,0.42379182156133827
LABO,rotation_4yr,2024,0.4317364821984057,0.02635830775672176,0.38661710037174724,0.48698884758364314
LABO,rotation_5yr,2016,0.7185597347613549,0.04602670212090783,0.625,0.8068181818181818
LABO,rotation_5yr,2017,0.33081073258841037,0.0249375083696236,0.2803030303030303,0.3787878787878788
LABO,rotation_5yr,2018,0.3325484063557871,0.022610301878534172,0.2878787878787879,0.3787878787878788
LABO,rotation_5yr,2019,0.3627680949913173,0.01662007627499512,0.32954545454545453,0.3977272727272727
LABO,rotation_5yr,2020,0.3188856764464325,0.01834967043077421,0.2840909090909091,0.3560606060606061
LABO,rotation_5yr,2021,0.33890548145723665,0.015099586636588934,0.3106060606060606,0.36742424242424243
LABO,rotation_5yr,2022,0.35342928232217163,0.015686260739279867,0.32196969696969696,0.38257575757575757
LABO,rotation_5yr,2023,0.39467621004524694,0.02091429278974159,0.3560606060606061,0.4356060606060606
LABO,rotation_5yr,2024,0.4082646901053742,0.02007738220344305,0.3712121212121212,0.45075757575757575
MYLU,full,2016,0.9026191904904776,0.028722869493114547,0.8392857142857143,0.95
MYLU,full,2017,0.9337844498735588,0.02077414800231231,0.8857142857142857,0.9678571428571429
MYLU,full,2018,0.9676842684268426,0.011911708580326107,0.9392857142857143,0.9857142857142858
MYLU,full,2019,0.9528138528138528,0.009353789603020975,0.9321428571428572,0.9678571428571429
MYLU,full,2020,0.9309334504879059,0.012125641168962689,0.9035714285714286,0.9535714285714286
MYLU,full,2021,0.9495224522452246,0.010601299953502575,0.925,0.9678571428571429
MYLU,full,2022,0.9474711756889975,0.00885030990132286,0.9285714285714286,0.9642857142857143
