"site","lat","long","grts_cell","region","water_nearby","site_type","dist_road_km","dist_harvest_km","region_idx","elevation_m","Quadrant"
"212266_SE",50.7148071,-120.4925243,212266,"Okanagan Region",1,"Always On",0.3304393767,8.957108883,4,343,NA
"212266_SW",50.7323352,-120.5218426,212266,"Okanagan Region",1,"Always On",0.3440526404,6.906167127,4,395,NA
"212906_NW",49.36971,-124.79984,212906,"South Coastal Region",0,"Rotating",0.0089450165,0.009855866476,5,226,NA
"212906_SE",49.35175,-124.74136,212906,"South Coastal Region",1,"Rotating",0.000182007324,1.00241616,5,157,NA
"212906_SW",49.33595,-124.7423,212906,"South Coastal Region",0,"Rotating",0,0.9267326499,5,131,NA
"216746_NW",49.106754,-125.78544,216746,"South Coastal Region",1,"Always On",0.01432371363,2.978330433,5,13,NA
"216746_SE",49.077676,-125.746438,216746,"South Coastal Region",1,"Always On",0.9020542675,1.286644066,5,1,NA
"218282_SE",50.138325,-117.556721,218282,"Kootenay Region",1,"Always On",0.1912523891,0,2,767,NA
"218282_SW",50.150936,-117.622098,218282,"Kootenay Region",1,"Always On",0.1419228903,0.8535157427,2,782,NA
"219626_SW",48.92819429,-125.25,219626,"South Coastal Region",1,"Unknown",0.238879618073942,NA,5,7,NA
"226090_NE",50.10929,-120.45236,226090,"Okanagan Region",1,"Rotating",0.9714916486,6.44627669,4,1130,NA
"226090_NW",50.0999,-120.50647,226090,"Okanagan Region",1,"Rotating",0.1042316954,2.763690906,4,718,NA
"226090_SE",50.07156,-120.42266,226090,"Okanagan Region",0,"Rotating",0.2881725344,7.009261239,4,1287,NA
"230186_NE",49.014567,-121.071983,230186,"Okanagan Region",0,"Rotating",0.0143325976,2.113284618,4,484,NA
"230186_SE",48.975109,-121.083294,230186,"Okanagan Region",1,"Rotating",0.151817406493965,3.41141787345413,4,498,NA
"231310_SE",56.22812,-132.07308,231310,"Alaska",0,NA,2.1213994140625,NA,1,132,"SE"
"241002_NE",51.038169,-118.135697,241002,"Kootenay Region",1,"Always On",0.1213738793,2.976574903,2,1772,NA
"241002_NW",51.015969,-118.202923,241002,"Kootenay Region",0,"Always On",0.004482636919,1.282092544,2,591,NA
"243562_NE",49.699661,-115.984981,243562,"Kootenay Region",0,"Rotating",0.01434466369,0,2,1194,NA
"243562_SE",49.650677,-115.946919,243562,"Kootenay Region",1,"Rotating",0.1656400712,2.553538607,2,1067,NA
"252394_NW",48.79865,-125.1656819,252394,"South Coastal Region",1,"Unknown",0.238879618073942,NA,5,12,NA
"26170_NE",53.620517,-132.208832,26170,"Northern Region",0.520547945205479,"Rotating",0.02674099227,0.5677774757,3,12,NA
"26170_NW",53.604517,-132.288374,26170,"Northern Region",0.520547945205479,"Rotating",0.2886794578,0.1937344669,3,8,NA
"26170_SE",53.58901,-132.176947,26170,"Northern Region",0.520547945205479,"Rotating",0.05792309992,0.7590362778,3,20,NA
"26170_SW",53.568946,-132.230418,26170,"Northern Region",0.520547945205479,"Rotating",0,0.009186533698,3,87,NA
"265749_NE",49.15892,-119.03758,265749,"Okanagan Region",1,"Rotating",0.03952574177,0,4,1077,NA
"265749_NW",49.16674,-119.10324,265749,"Okanagan Region",1,"Rotating",0.8618626271,0.9960676757,4,1085,NA
"265749_SE",49.11153,-118.97698,265749,"Okanagan Region",0,"Rotating",0.02360855138,0.3974501742,4,621,NA
"265749_SW",49.11337,-119.05299,265749,"Okanagan Region",1,"Rotating",0.04516003745,0,4,1037,NA
"268521_NE",49.49916,-115.03962,268521,"Kootenay Region",0,"Always On",0.02066486944,0.1786042,2,1052,NA
"268521_NW",49.48855,-115.09812,268521,"Kootenay Region",0,"Always On",0.02974038888,3.443398332,2,1047,NA
"268521_SE",49.440833,-115.056338,268521,"Kootenay Region",1,"Always On",0.1353535558,0.4342493186,2,970,NA
"269777_NW",57.04083,-122.86281,269777,"Northern Region",0,"Always On",0.2107357816,4.588363437,3,1575,NA
"269777_SW",57.01497,-122.80521,269777,"Northern Region",1,"Always On",0.009870683865,1.666505056,3,941,NA
"271731_SW",51.241464,-117.649615,271731,"Kootenay Region",0,"Always On",0.04888413074,7.96178528,2,1013,NA
"283586_NE",54.3558,-128.5366,283586,"Northern Region",0,"Rotating",0.03124162297,0,3,132,NA
"283586_NW",54.3321,-128.6266,283586,"Northern Region",1,"Rotating",0.0252074934,0,3,156,NA
"283586_SE",54.31162,-128.54374,283586,"Northern Region",1,"Rotating",0.1312254289,0.3578198515,3,189,NA
"283586_SW",54.2946,-128.581,283586,"Northern Region",0,"Rotating",0.009383807434,0,3,207,NA
"294832_NE",56.3348,-120.97877,294832,"Northern Region",1,"Always On",0.1553029348,3.058266685,3,699,NA
"294832_NW",56.33264,-121.00747,294832,"Northern Region",1,"Always On",0.06356088615,2.474423844,3,699,NA
"294832_SE",56.30206,-120.94608,294832,"Northern Region",0,"Always On",0.03167733218,1.132182917,3,729,NA
"294832_SW",56.30496,-121.00198,294832,"Northern Region",0,"Always On",0.03671570557,2.495896582,3,799,NA
"31438_NE",58.25593,-134.358115,31438,"Alaska",1,NA,1.58119787597656,NA,1,79,"NE"
"31438_NW",58.26963,-134.43333,31438,"Alaska",1,NA,1.58119787597656,NA,1,207,"NW"
"31438_SE",58.24628,-134.33602,31438,"Alaska",1,NA,1.41426635742188,NA,1,22,"SE"
"315563_SE",58.36437,-134.50136,315563,"Alaska",1,NA,0.500018676757813,NA,1,41,"SE"
"317428_NE",49.06292,-120.799436,317428,"South Coastal Region",1,"Rotating",0.07525785087,0.3726624093,5,1201,NA
"317428_NW",49.06417,-120.90943,317428,"South Coastal Region",0,"Rotating",0,8.277974879,5,1371,NA
"317428_SE",49.06053,-120.77309,317428,"South Coastal Region",0,"Rotating",0.0487102006,0.1459006712,5,1176,NA
"317428_SW",49.04617,-120.85085,317428,"South Coastal Region",1,"Rotating",1.569441336,4.567040757,5,1276,NA
"326072_NE",49.09743,-122.51957,326072,"South Coastal Region",0,"Always On",0.08214961954,7.815346407,5,90,NA
"326072_NW",49.05235,-122.58989,326072,"South Coastal Region",0,"Always On",0.2059313468,14.99310572,5,105,NA
"326072_SE",49.0144,-122.52755,326072,"South Coastal Region",0,"Always On",0.1667329338,15.98553469,5,79,NA
"326072_SW",49.01082,-122.58104,326072,"South Coastal Region",0,"Always On",0.03968325479,18.17697304,5,67,NA
"34338_NW",59.51789,-139.66391,34338,"Alaska",1,NA,0,NA,1,26,"NW"
"34338_SE",59.51027,-139.53528,34338,"Alaska",1,NA,5.408529296875,NA,1,37,"SE"
"34338_SW",59.49062,-139.64204,34338,"Alaska",1,NA,0.500018676757813,NA,1,17,"SW"
"37274_NE",53.088742,-119.203183,37274,"Northern Region",1,"Rotating",0.3095826599,9.229996395,3,984,NA
"37274_SE",53.050514,-119.214184,37274,"Northern Region",1,"Rotating",0.003348522418,5.064257729,3,836,NA
"37274_SW",53.035636,-119.228949,37274,"Northern Region",0,"Rotating",0.04551184872,3.132808028,3,822,NA
"38442_NW",51.5199863,-122.2897779,38442,"Okanagan Region",0,"Rotating",0.1002431075,4.747043298,4,351,NA
"38442_SW",51.502381,-122.289917,38442,"Okanagan Region",0,"Rotating",0.07464707611,4.482926424,4,381,NA
"42026_NE",55.85526785,-121.6534502,42026,"Northern Region",0.520547945205479,"Always On",0.0299799017,2.7584498,3,752,NA
"42026_NW",55.83615996,-121.7169091,42026,"Northern Region",0.520547945205479,"Always On",0.01181020138,0.2446806228,3,718,NA
"42026_SE",55.81796825,-121.6640549,42026,"Northern Region",0.520547945205479,"Always On",0.03199303206,1.190288137,3,701,NA
"42026_SW",55.81130793,-121.7013079,42026,"Northern Region",0.520547945205479,"Always On",0.1057960683,1.877107631,3,700,NA
"47210_NE",49.84024333,-119.8811811,47210,"Okanagan Region",0.520547945205479,"Always On",0.08532485066,0.1709476801,4,1295,NA
"47210_NW",49.84159091,-119.9782986,47210,"Okanagan Region",0.520547945205479,"Always On",0.06349163953,0,4,1279,NA
"47210_SE",49.79638208,-119.8698479,47210,"Okanagan Region",0.520547945205479,"Always On",0.1740288716,0.007731770866,4,982,NA
"47210_SW",49.79097,-119.9526683,47210,"Okanagan Region",0.544789500107581,"Unknown",0.05750237826,0.392425406,4,1186,NA
"47310_NW",55.49629,-131.70515,47310,"Alaska",0,NA,1.80284289550781,NA,1,81,"NW"
"47310_SE",55.45411,-131.61887,47310,"Alaska",0,NA,0,NA,1,127,"SE"
"47310_SW",55.44204,-131.62489,47310,"Alaska",1,NA,1.11807580566406,NA,1,159,"SW"
"47322_NE",55.698075,-120.43213,47322,"Northern Region",0,"Always On",0.07102453576,0.1811073404,3,916,NA
"47322_NW",55.70016,-120.489889,47322,"Northern Region",1,"Always On",0.02090447252,1.129826052,3,718,NA
"47322_SE",55.64597,-120.40102,47322,"Northern Region",1,"Always On",0.05918764101,0.1619837359,3,893,NA
"47322_SW",55.65446,-120.49465,47322,"Northern Region",1,"Always On",0.02998535336,0.5562251146,3,714,NA
