"site","lat","long","grts_cell","region","water_nearby","site_type","dist_road_km","dist_harvest_km","region_idx","elevation_m","GRTS.Cell.ID","Quadrant"
"265749_SW",49.11337,-119.05299,265749,"Okanagan Region",1,"Rotating",0.04516003745,0,3,1037,NA,NA
"268521_NE",49.49916,-115.03962,268521,"Kootenay Region",0,"Always On",0.02066486944,0.1786042,1,1052,NA,NA
"268521_NW",49.48855,-115.09812,268521,"Kootenay Region",0,"Always On",0.02974038888,3.443398332,1,1047,NA,NA
"268521_SE",49.440833,-115.056338,268521,"Kootenay Region",1,"Always On",0.1353535558,0.4342493186,1,970,NA,NA
"269777_NW",57.04083,-122.86281,269777,"Northern Region",0,"Always On",0.2107357816,4.588363437,2,1575,NA,NA
"269777_SW",57.01497,-122.80521,269777,"Northern Region",1,"Always On",0.009870683865,1.666505056,2,941,NA,NA
"271731_SW",51.241464,-117.649615,271731,"Kootenay Region",0,"Always On",0.04888413074,7.96178528,1,1013,NA,NA
"283586_NE",54.3558,-128.5366,283586,"Northern Region",0,"Rotating",0.03124162297,0,2,132,NA,NA
"283586_NW",54.3321,-128.6266,283586,"Northern Region",1,"Rotating",0.0252074934,0,2,156,NA,NA
"283586_SE",54.31162,-128.54374,283586,"Northern Region",1,"Rotating",0.1312254289,0.3578198515,2,189,NA,NA
"283586_SW",54.2946,-128.581,283586,"Northern Region",0,"Rotating",0.009383807434,0,2,207,NA,NA
"294832_NE",56.3348,-120.97877,294832,"Northern Region",1,"Always On",0.1553029348,3.058266685,2,699,NA,NA
"294832_NW",56.33264,-121.00747,294832,"Northern Region",1,"Always On",0.06356088615,2.474423844,2,699,NA,NA
"294832_SE",56.30206,-120.94608,294832,"Northern Region",0,"Always On",0.03167733218,1.132182917,2,729,NA,NA
"294832_SW",56.30496,-121.00198,294832,"Northern Region",0,"Always On",0.03671570557,2.495896582,2,799,NA,NA
"317428_NE",49.06292,-120.799436,317428,"South Coastal Region",1,"Rotating",0.07525785087,0.3726624093,4,1201,NA,NA
"317428_NW",49.06417,-120.90943,317428,"South Coastal Region",0,"Rotating",0,8.277974879,4,1371,NA,NA
"317428_SE",49.06053,-120.77309,317428,"South Coastal Region",0,"Rotating",0.0487102006,0.1459006712,4,1176,NA,NA
"317428_SW",49.04617,-120.85085,317428,"South Coastal Region",1,"Rotating",1.569441336,4.567040757,4,1276,NA,NA
"326072_NE",49.09743,-122.51957,326072,"South Coastal Region",0,"Always On",0.08214961954,7.815346407,4,90,NA,NA
"326072_NW",49.05235,-122.58989,326072,"South Coastal Region",0,"Always On",0.2059313468,14.99310572,4,105,NA,NA
"326072_SE",49.0144,-122.52755,326072,"South Coastal Region",0,"Always On",0.1667329338,15.98553469,4,79,NA,NA
"326072_SW",49.01082,-122.58104,326072,"South Coastal Region",0,"Always On",0.03968325479,18.17697304,4,67,NA,NA
"37274_NE",53.088742,-119.203183,37274,"Northern Region",1,"Rotating",0.3095826599,9.229996395,2,984,NA,NA
"37274_SE",53.050514,-119.214184,37274,"Northern Region",1,"Rotating",0.003348522418,5.064257729,2,836,NA,NA
"37274_SW",53.035636,-119.228949,37274,"Northern Region",0,"Rotating",0.04551184872,3.132808028,2,822,NA,NA
"38442_NW",51.5199863,-122.2897779,38442,"Okanagan Region",0,"Rotating",0.1002431075,4.747043298,3,351,NA,NA
"38442_SW",51.502381,-122.289917,38442,"Okanagan Region",0,"Rotating",0.07464707611,4.482926424,3,381,NA,NA
"42026_NE",55.85526785,-121.6534502,42026,"Northern Region",0.520547945205479,"Always On",0.0299799017,2.7584498,2,752,NA,NA
"42026_NW",55.83615996,-121.7169091,42026,"Northern Region",0.520547945205479,"Always On",0.01181020138,0.2446806228,2,718,NA,NA
"42026_SE",55.81796825,-121.6640549,42026,"Northern Region",0.520547945205479,"Always On",0.03199303206,1.190288137,2,701,NA,NA
"42026_SW",55.81130793,-121.7013079,42026,"Northern Region",0.520547945205479,"Always On",0.1057960683,1.877107631,2,700,NA,NA
"47210_NE",49.84024333,-119.8811811,47210,"Okanagan Region",0.520547945205479,"Always On",0.08532485066,0.1709476801,3,1295,NA,NA
"47210_NW",49.84159091,-119.9782986,47210,"Okanagan Region",0.520547945205479,"Always On",0.06349163953,0,3,1279,NA,NA
"47210_SE",49.79638208,-119.8698479,47210,"Okanagan Region",0.520547945205479,"Always On",0.1740288716,0.007731770866,3,982,NA,NA
"47322_NE",55.698075,-120.43213,47322,"Northern Region",0,"Always On",0.07102453576,0.1811073404,2,916,NA,NA
"47322_NW",55.70016,-120.489889,47322,"Northern Region",1,"Always On",0.02090447252,1.129826052,2,718,NA,NA
"47322_SE",55.64597,-120.40102,47322,"Northern Region",1,"Always On",0.05918764101,0.1619837359,2,893,NA,NA
