"site","grts_cell","region","region_idx","site_type","lat","long","elevation","water","dist_road_km","dist_harvest_km"
"294832_NE",294832,"Northern Region",2,"Always On",56.3348,-120.97877,1000,1,0.1553029348,3.058266685
"294832_NW",294832,"Northern Region",2,"Always On",56.33264,-121.00747,1000,1,0.06356088615,2.474423844
"294832_SE",294832,"Northern Region",2,"Always On",56.30206,-120.94608,1000,0,0.03167733218,1.132182917
"294832_SW",294832,"Northern Region",2,"Always On",56.30496,-121.00198,1000,0,0.03671570557,2.495896582
"317428_NE",317428,"South Coastal Region",4,"Rotating",49.06292,-120.799436,1000,1,0.07525785087,0.3726624093
"317428_NW",317428,"South Coastal Region",4,"Rotating",49.06417,-120.90943,1000,0,0,8.277974879
"317428_SE",317428,"South Coastal Region",4,"Rotating",49.06053,-120.77309,1000,0,0.0487102006,0.1459006712
"317428_SW",317428,"South Coastal Region",4,"Rotating",49.04617,-120.85085,1000,1,1.569441336,4.567040757
"326072_NE",326072,"South Coastal Region",4,"Always On",49.09743,-122.51957,1000,0,0.08214961954,7.815346407
"326072_NW",326072,"South Coastal Region",4,"Always On",49.05235,-122.58989,1000,0,0.2059313468,14.99310572
"326072_SE",326072,"South Coastal Region",4,"Always On",49.0144,-122.52755,1000,0,0.1667329338,15.98553469
"326072_SW",326072,"South Coastal Region",4,"Always On",49.01082,-122.58104,1000,0,0.03968325479,18.17697304
"37274_NE",37274,"Northern Region",2,"Rotating",53.088742,-119.203183,1000,1,0.3095826599,9.229996395
"37274_SE",37274,"Northern Region",2,"Rotating",53.050514,-119.214184,1000,1,0.003348522418,5.064257729
"37274_SW",37274,"Northern Region",2,"Rotating",53.035636,-119.228949,1000,0,0.04551184872,3.132808028
"38442_NW",38442,"Okanagan Region",3,"Rotating",51.5199863,-122.2897779,1000,0,0.1002431075,4.747043298
"38442_SW",38442,"Okanagan Region",3,"Rotating",51.502381,-122.289917,1000,0,0.07464707611,4.482926424
"42026_NE",42026,"Northern Region",2,"Always On",55.85526785,-121.6534502,1000,0,0.0299799017,2.7584498
"42026_NW",42026,"Northern Region",2,"Always On",55.83615996,-121.7169091,1000,0,0.01181020138,0.2446806228
"42026_SE",42026,"Northern Region",2,"Always On",55.81796825,-121.6640549,1000,0,0.03199303206,1.190288137
"42026_SW",42026,"Northern Region",2,"Always On",55.81130793,-121.7013079,1000,0,0.1057960683,1.877107631
"47210_NE",47210,"Okanagan Region",3,"Always On",49.84024333,-119.8811811,1000,0,0.08532485066,0.1709476801
"47210_NW",47210,"Okanagan Region",3,"Always On",49.84159091,-119.9782986,1000,0,0.06349163953,0
"47210_SE",47210,"Okanagan Region",3,"Always On",49.79638208,-119.8698479,1000,0,0.1740288716,0.007731770866
"47322_NE",47322,"Northern Region",2,"Always On",55.698075,-120.43213,1000,0,0.07102453576,0.1811073404
"47322_NW",47322,"Northern Region",2,"Always On",55.70016,-120.489889,1000,1,0.02090447252,1.129826052
"47322_SE",47322,"Northern Region",2,"Always On",55.64597,-120.40102,1000,1,0.05918764101,0.1619837359
"47322_SW",47322,"Northern Region",2,"Always On",55.65446,-120.49465,1000,1,0.02998535336,0.5562251146
"57322_NE",57322,"South Coastal Region",4,"Always On",49.094543,-122.098809,1000,0,0.2539629621,2.363509378
"57322_NW",57322,"South Coastal Region",4,"Always On",49.07915,-122.16077,1000,1,0.1205385,1.194108838
"57322_SE",57322,"South Coastal Region",4,"Always On",49.0141,-122.09198,1000,0,0.012836279,0.4100287022
"57322_SW",57322,"South Coastal Region",4,"Always On",49.016633,-122.151312,1000,1,0.005943036135,1.750410131
"5994_NE",5994,"Kootenay Region",1,"Always On",49.260667,-115.248935,1000,0,0.1709249629,0.1026117181
"5994_SE",5994,"Kootenay Region",1,"Always On",49.212282,-115.26277,1000,0,0.3575045406,0.5139402792
"60586_NW",60586,"Kootenay Region",1,"Always On",50.93041,-116.39001,1000,0,0.01689568676,0.961835646
"60586_SW",60586,"Kootenay Region",1,"Always On",50.90342,-116.39335,1000,1,0.5465327848,0.9800106674
"6202_NE",6202,"South Coastal Region",4,"Rotating",48.537407,-123.501191,1000,0,0.2126708774,4.416441116
"6202_NW",6202,"South Coastal Region",4,"Rotating",48.507881,-123.600878,1000,1,0.1690202609,0.03661149594
"6202_SE",6202,"South Coastal Region",4,"Rotating",48.4893431,-123.5078995,1000,1,0.03645562852,1.051500975
