scenario,iteration,site_years,pct_of_full,detections,sites_yr_min,sites_yr_max,lambda_mean,lambda_lcl,lambda_ucl,ci_width,beta_psi_water,beta_psi_road,beta_col_road,beta_col_harvest,beta_per_road,beta_per_harvest,mean_gamma,mean_phi,mean_p,max_rhat,psi_2017,psi_2018,psi_2019,psi_2020,psi_2021,psi_2022,psi_2023,psi_2024
3-Year,5,933,67.4,1189,114,118,1.042557881601289,0.9026673427991887,1.2033898305084747,0.300722487709286,-0.35877391936530145,-0.7094460821946073,0.30185126359224485,1.1858010586731835,-0.19284737380892877,0.6862292398313905,0.4914188285217313,0.8609440816311242,0.6722577011010887,1.0578033712018138,0.768747591522158,0.7456005138086063,0.7495504174694926,0.7362491971740527,0.800218368657675,0.6605330764290301,0.8134553628773282,0.7983815028901734
4-Year,1,874,63.2,1125,108,111,1.0010131037655083,0.8616847826086956,1.156051149094168,0.29436636648547243,-0.776292758413039,-0.9340511215860406,-0.8894515635538784,2.216652267102198,0.6452034024873747,0.8762243349127429,0.5091270287956094,0.8716609497623935,0.6678166286600463,1.0282767578532999,0.778529222864483,0.6869556840077071,0.7540976236351958,0.7405651894669236,0.8180539499036609,0.6834746307000642,0.8233526011560693,0.7765446371226719
4-Year,2,874,63.2,1143,108,111,1.0357593491601536,0.8922365318338472,1.2109756097560975,0.3187390779222503,-0.6551149616111476,-0.8195577830704359,-0.14148198141885213,1.7931194659947731,0.03324638795301905,0.780267316424658,0.5206337699397406,0.8650994596498923,0.6803560287811312,1.0927786790537781,0.7700385356454721,0.7790430314707771,0.7585549132947977,0.713121387283237,0.785170199100835,0.6449389852280025,0.834373795761079,0.7943866409762363
4-Year,3,874,63.2,1151,108,111,1.0441434380395085,0.8968882853094001,1.2041266826602692,0.3072383973508691,-0.34970858855143444,-0.3316139896351386,-0.6213901597392433,1.453699221069483,-0.040588552511907246,0.709406158786401,0.4895885489903941,0.8664131226626032,0.6728543929369553,1.1759171673176796,0.7717405266538214,0.7344315992292871,0.7482594733461786,0.7247398843930636,0.8010404624277456,0.693538856775851,0.8400192678227361,0.8027296082209378
4-Year,4,874,63.2,1136,108,111,0.9842070829691301,0.8406491445916116,1.1434571428571427,0.3028079982655312,-0.5630265999092554,-1.1717147137114974,-0.5171189730865976,1.7645588215376882,0.4441843465012731,0.7477522897054146,0.5097657651310764,0.8714401771212504,0.6743056435755076,1.0471092244149298,0.7834296724470134,0.7522607578676943,0.7476300578034683,0.7381245985870263,0.8119139370584457,0.6595568400770713,0.8384971098265896,0.7684649967886962
4-Year,5,874,63.2,1109,108,111,0.9842882139336,0.8402777777777778,1.1623931623931625,0.3221153846153847,-0.7392619448985852,0.22822797134016948,-0.3839221463673522,0.7955734374237013,-0.007248965655530287,0.6845670796986458,0.44649956813978325,0.8494659824466172,0.6759959205629759,1.0859976279009522,0.7721515735388568,0.7606294155427104,0.7479833012202954,0.6775208734746307,0.7610340398201669,0.633538856775851,0.7737893384714194,0.7565061014771998
5-Year,1,843,60.9,1097,103,107,0.9692904120999984,0.8275862068965517,1.1240865384615384,0.2965003315649867,-0.5447483842457483,-0.9479260303359347,-0.8906463286719541,1.925625337328184,0.6097212759920503,0.6505879958220381,0.5109108759751207,0.8676941058118913,0.6838674802957393,1.030003515039887,0.7919910083493898,0.7845150931278099,0.7530507385998716,0.7098330122029544,0.7844187540141297,0.6530122029543994,0.8248747591522158,0.7650867052023121
5-Year,2,843,60.9,1083,103,107,0.9822208942151991,0.8361989795918368,1.1538008971704623,0.31760191757862555,-0.741871444237154,-0.9785673590806694,-0.9573972937432309,1.6598490317362387,0.7017946272333648,0.8099858937338086,0.4832660136047684,0.874613657385487,0.6738588043556549,1.0295738419156168,0.7762556197816314,0.7436994219653179,0.778131021194605,0.697694283879255,0.7688310854206808,0.6656583172768143,0.8129672447013487,0.7594091201027617
5-Year,3,843,60.9,1093,103,107,1.0822637463520146,0.9390537961625748,1.267793313708999,0.32873951754642416,-0.7615568585771544,-1.4023824634128566,-0.30660597119494193,1.2778175461859442,0.7329099723618391,0.7692216926786072,0.4901856862380062,0.8769259747253179,0.6770534606231803,1.0971762749825549,0.7541425818882467,0.7604624277456647,0.7297238278741169,0.6884649967886962,0.7595953757225433,0.6648876043673732,0.8674116891457931,0.8131920359666024
5-Year,4,843,60.9,1097,103,107,1.0063861604502449,0.8741478719955542,1.160074244751664,0.2859263727561099,-0.7375930083358618,-0.5775517224138089,-1.105582682579853,1.6407616111556893,0.9332447557242021,0.8111139817886869,0.4918295106620192,0.8712070483061762,0.6810426434555492,1.0278338064155763,0.7884071933204881,0.7212909441233141,0.7589145793192036,0.7101734104046242,0.7998458574181118,0.6494990366088632,0.8256518946692357,0.7908927424534361
5-Year,5,843,60.9,1081,103,107,0.9872212515224031,0.8432274247491639,1.1434927360774818,0.3002653113283179,-0.42470972167980864,0.11942539515698847,-0.6023114165039753,1.4235782020651837,0.010646050855522185,0.7643750060077222,0.5151382639565808,0.8537307737441325,0.6714207804825922,1.156751474647255,0.7820809248554913,0.7510404624277457,0.7565446371226718,0.706660244059088,0.814193962748876,0.6817726396917149,0.840179833012203,0.769107257546564
