site,grts_cell,region,lat,long,n_years,site_type,rotation_group
47210_NW,47210,Okanagan Region,49.84159091,-119.9782986,2,Core,0
47210_SE,47210,Okanagan Region,49.79638208,-119.8698479,2,Core,0
47322_NE,47322,Northern Region,55.698075,-120.43213,8,Core,0
47322_NW,47322,Northern Region,55.70016,-120.489889,8,Core,0
47322_SE,47322,Northern Region,55.64597,-120.40102,7,Core,0
47322_SW,47322,Northern Region,55.65446,-120.49465,8,Core,0
57322_NE,57322,South Coastal Region,49.094543,-122.098809,7,Core,0
57322_NW,57322,South Coastal Region,49.07915,-122.16077,6,Core,0
57322_SE,57322,South Coastal Region,49.0141,-122.09198,6,Core,0
57322_SW,57322,South Coastal Region,49.016633,-122.151312,5,Core,0
5994_NE,5994,Kootenay Region,49.260667,-115.248935,5,Core,0
5994_SE,5994,Kootenay Region,49.212282,-115.26277,5,Core,0
60586_NW,60586,Kootenay Region,50.93041,-116.39001,5,Core,0
60586_SW,60586,Kootenay Region,50.90342,-116.39335,5,Core,0
6202_NE,6202,South Coastal Region,48.537407,-123.501191,7,Rotating,4
6202_NW,6202,South Coastal Region,48.507881,-123.600878,6,Rotating,3
6202_SE,6202,South Coastal Region,48.4893431,-123.5078995,4,Rotating,5
6202_SW,6202,South Coastal Region,48.486373,-123.549127,6,Rotating,3
70250_NW,70250,Kootenay Region,51.24583,-116.91793,5,Core,0
70250_SW,70250,Kootenay Region,51.20982,-116.89974,3,Core,0
73002_NE,73002,Okanagan Region,50.850673,-121.872189,8,Core,0
73002_SE,73002,Okanagan Region,50.824841,-121.868963,9,Core,0
73002_SW,73002,Okanagan Region,50.80422,-121.87782,9,Core,0
73786_NW,73786,South Coastal Region,49.12334,-123.06198,9,Core,0
73786_SE,73786,South Coastal Region,49.12604,-123.001631,9,Core,0
73786_SW,73786,South Coastal Region,49.108227,-123.079916,7,Core,0
77162_NE,77162,Kootenay Region,50.95478,-118.09975,6,Rotating,1
77162_SW,77162,Kootenay Region,50.886,-118.10586,8,Rotating,3
79018_NE,79018,Kootenay Region,50.202097,-116.910069,9,Core,0
79018_NW,79018,Kootenay Region,50.193827,-116.947519,9,Core,0
79018_SE,79018,Kootenay Region,50.187225,-116.904186,9,Core,0
79018_SW,79018,Kootenay Region,50.177706,-116.959679,9,Core,0
86074_NE,86074,South Coastal Region,49.23087,-122.305598,7,Core,0
86074_NW,86074,South Coastal Region,49.184424,-122.403309,4,Core,0
86074_SE,86074,South Coastal Region,49.169621,-122.319295,5,Core,0
